"","aproovitykk_id","kp","satel","B02","B03","B04","B05","B06","B07","B08","B11","B12","B2","B3","B4","B5","B6","B7","B9","muld","MA","KU","KS","MUU","21","31","37","42","43","44","45","48","51","53","57","61","63","64","77","999"
"177",34274,2017-05-05,"S2",1008,833,758,1007,1541,1776,1819,1609,986,NA,NA,NA,NA,NA,NA,NA,42,10,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"179",34274,2017-08-30,"S2",813,636,359,628,2132,2821,2715,1133,406,NA,NA,NA,NA,NA,NA,NA,42,10,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"180",34274,2017-09-24,"S2",899,722,459,782,1739,2124,2293,1141,474,NA,NA,NA,NA,NA,NA,NA,42,10,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"182",34274,2018-05-10,"S2",792,698,442,858,1774,2096,2090,1301,623,NA,NA,NA,NA,NA,NA,NA,42,10,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"185",34274,2018-05-27,"S2",824,698,385,753,2686,3300,3258,1327,524,NA,NA,NA,NA,NA,NA,NA,42,10,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"187",34274,2018-05-30,"S2",741,603,322,642,2452,3064,3010,1151,427,NA,NA,NA,NA,NA,NA,NA,42,10,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"189",34274,2018-06-09,"S2",704,569,300,627,2421,2962,2952,1060,394,NA,NA,NA,NA,NA,NA,NA,42,10,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"191",34274,2018-08-23,"S2",844,676,413,660,2006,2672,2595,1021,396,NA,NA,NA,NA,NA,NA,NA,42,10,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"192",34274,2018-09-19,"S2",904,700,439,720,1943,2483,2472,1130,410,NA,NA,NA,NA,NA,NA,NA,42,10,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"193",34280,2016-05-10,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,0,30,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"195",34280,2017-05-02,"S2",812,608,444,686,1218,1421,1509,926,491,NA,NA,NA,NA,NA,NA,NA,43,0,30,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"197",34280,2015-08-04,"S2",713,552,306,549,1776,2263,2213,883,320,NA,NA,NA,NA,NA,NA,NA,43,0,30,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"199",34280,2015-08-24,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,0,30,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"200",34280,2015-09-30,"S2",897,701,466,776,1480,1852,1832,864,340,NA,NA,NA,NA,NA,NA,NA,43,0,30,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"201",34280,2016-04-27,"S2",829,614,452,708,1185,1430,1437,825,428,NA,NA,NA,NA,NA,NA,NA,43,0,30,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"203",34280,2017-08-30,"S2",805,611,359,574,1742,2271,2204,897,333,NA,NA,NA,NA,NA,NA,NA,43,0,30,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"204",34280,2017-09-24,"S2",892,692,468,754,1456,1822,1961,868,376,NA,NA,NA,NA,NA,NA,NA,43,0,30,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"206",34280,2018-05-10,"S2",755,642,370,746,1592,1865,1890,965,446,NA,NA,NA,NA,NA,NA,NA,43,0,30,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"209",34280,2018-05-27,"S2",830,681,394,728,2156,2661,2616,1106,462,NA,NA,NA,NA,NA,NA,NA,43,0,30,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"211",34280,2018-05-30,"S2",732,582,321,625,1982,2464,2410,934,370,NA,NA,NA,NA,NA,NA,NA,43,0,30,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
