"","aproovitykk_id","kp","satel","B2","B3","B4","B5","B6","B7","muld","MA","KU","KS","MUU","21","37","42","43","44","45","48","51","53","61","64","77","999"
"472",35384,2018-05-12,"LC08",8306,7602,6779,14067,10034,7326,44,65,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"473",35384,2018-05-26,"LC08",NA,NA,NA,NA,NA,NA,44,65,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"475",35384,2018-05-28,"LC08",8342,7602,6650,16525,9792,7017,44,65,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"478",35384,2018-08-23,"LC08",8334,7527,7239,12275,11460,8339,44,65,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"481",35565,2015-06-12,"LC08",8375,7731,6628,15618,9341,6916,64,60,20,15,5,0,0,0,0,0,0,0,0,0,0,1,0,0
"483",35565,2015-08-08,"LC08",NA,NA,NA,NA,NA,NA,64,60,20,15,5,0,0,0,0,0,0,0,0,0,0,1,0,0
"488",35565,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,64,60,20,15,5,0,0,0,0,0,0,0,0,0,0,1,0,0
"491",35565,2017-06-17,"LC08",8633,7867,6793,15224,9244,6922,64,60,20,15,5,0,0,0,0,0,0,0,0,0,0,1,0,0
"494",35565,2018-05-10,"LC08",8109,7353,6601,11614,8599,6709,64,60,20,15,5,0,0,0,0,0,0,0,0,0,0,1,0,0
"496",35565,2018-05-12,"LC08",NA,NA,NA,NA,NA,NA,64,60,20,15,5,0,0,0,0,0,0,0,0,0,0,1,0,0
"497",35565,2018-05-26,"LC08",8147,7412,6467,13764,8642,6556,64,60,20,15,5,0,0,0,0,0,0,0,0,0,0,1,0,0
"499",35565,2018-05-28,"LC08",NA,NA,NA,NA,NA,NA,64,60,20,15,5,0,0,0,0,0,0,0,0,0,0,1,0,0
"502",35565,2018-08-23,"LC08",8181,7325,6507,12117,7860,6204,64,60,20,15,5,0,0,0,0,0,0,0,0,0,0,1,0,0
