"","x","y","kp","B2","B3","B4","B5","B6","B7","satel","muld","21","42","43","44","45","48","51","53","61","64","999","37","77"
"141",669412.50000001,6460437.49999977,"2017-06-17",9290,9630,8588,23898,11319,8574,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"143",669412.50000001,6460437.49999977,"2018-05-28",10690,10718,11738,15673,18285,16803,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"144",669412.50000001,6460437.49999977,"2018-08-23",9415,9369,10217,13961,16746,12814,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"145",669412.50000001,6460462.49999977,"2018-05-10",9504,9476,9980,14534,15465,13514,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"146",669412.50000001,6460462.49999977,"2018-05-12",9709,9520,9685,16332,14900,12777,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"147",669412.50000001,6460462.49999977,"2018-05-26",10337,10427,11472,15004,17623,16194,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"148",669412.50000001,6460462.49999977,"2018-05-28",10690,10718,11738,15673,18285,16803,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"149",669412.50000001,6460462.49999977,"2018-08-23",9415,9369,10217,13961,16746,12814,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"152",669412.50000001,6460462.49999977,"2017-06-17",9290,9630,8588,23898,11319,8574,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"153",669412.50000001,6460487.49999977,"2018-05-10",9646,9632,10406,13901,16030,14267,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"154",669412.50000001,6460487.49999977,"2018-05-12",10316,10383,11228,15303,17545,15531,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"155",669412.50000001,6460487.49999977,"2018-08-23",9348,9266,10013,13701,16466,12597,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"156",669412.50000001,6460487.49999977,"2017-06-17",9695,9894,9336,20069,13199,10389,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"157",669412.50000001,6460487.49999977,"2018-05-26",10307,10409,11475,14926,17648,16201,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"158",669412.50000001,6460487.49999977,"2018-05-28",10766,10889,11977,15924,18424,16977,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"161",669412.50000001,6460512.49999977,"2018-05-12",10436,10472,11632,15198,17659,15894,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"162",669412.50000001,6460512.49999977,"2018-05-10",9627,9606,10308,14201,15795,14114,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"164",669412.50000001,6460512.49999977,"2018-05-26",10359,10513,11626,15049,17707,16269,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"165",669412.50000001,6460512.49999977,"2018-05-28",10824,10938,12037,16003,18449,16994,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"166",669412.50000001,6460512.49999977,"2018-08-23",9313,9260,10021,13740,16319,12508,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"167",669412.50000001,6460512.49999977,"2017-06-17",9840,10080,9598,18878,13905,11136,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"169",669412.50000001,6460537.49999977,"2018-05-10",9373,9336,9783,14402,15138,13116,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"171",669412.50000001,6460537.49999977,"2017-06-17",9743,9896,9409,18615,13678,10802,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"173",669412.50000001,6460537.49999977,"2018-08-23",9301,9236,10058,13753,16247,12385,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"174",669412.50000001,6460537.49999977,"2018-05-12",10172,10168,10942,15194,16890,14792,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"175",669412.50000001,6460537.49999977,"2018-05-26",10369,10503,11644,15087,17743,16274,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"176",669412.50000001,6460537.49999977,"2018-05-28",10826,10907,11985,15976,18451,16936,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"178",669412.50000001,6460562.49999977,"2017-06-17",9585,9666,9023,18106,13121,10263,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"180",669412.50000001,6460562.49999977,"2018-05-26",10356,10422,11485,14951,17613,16108,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"181",669412.50000001,6460562.49999977,"2018-05-28",10773,10870,11947,15956,18418,16982,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"182",669412.50000001,6460562.49999977,"2018-05-10",9372,9306,9726,14016,14976,13021,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"183",669412.50000001,6460562.49999977,"2018-05-12",9802,9700,10045,15494,15833,13562,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"184",669412.50000001,6460562.49999977,"2018-08-23",9240,9164,9968,13555,16147,12315,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"185",669412.50000001,6460587.49999977,"2018-05-10",9392,9230,9570,13966,14846,12939,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"187",669412.50000001,6460587.49999977,"2017-06-17",9491,9512,8749,17919,12537,9717,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"189",669412.50000001,6460587.49999977,"2018-05-26",10362,10415,11357,14902,17673,16105,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"190",669412.50000001,6460587.49999977,"2018-05-28",10746,10850,11955,15930,18298,16821,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"191",669412.50000001,6460587.49999977,"2018-08-23",9225,9163,9992,13614,16238,12280,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"192",669412.50000001,6460587.49999977,"2018-05-12",9844,9772,10156,15346,15962,13699,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"194",669412.50000001,6460612.49999977,"2017-06-17",9491,9512,8749,17919,12537,9717,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"196",669412.50000001,6460612.49999977,"2018-05-10",9392,9230,9570,13966,14846,12939,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"197",669412.50000001,6460612.49999977,"2018-05-12",9844,9772,10156,15346,15962,13699,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"198",669412.50000001,6460612.49999977,"2018-05-26",10362,10415,11357,14902,17673,16105,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"199",669412.50000001,6460612.49999977,"2018-05-28",10746,10850,11955,15930,18298,16821,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"200",669412.50000001,6460612.49999977,"2018-08-23",9225,9163,9992,13614,16238,12280,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"201",669412.50000001,6460637.49999977,"2018-05-10",9322,9176,9400,14078,14803,12700,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"202",669412.50000001,6460637.49999977,"2018-05-12",9925,9831,10269,15164,16063,13795,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"203",669412.50000001,6460637.49999977,"2018-05-26",10347,10408,11351,14950,17771,16218,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"204",669412.50000001,6460637.49999977,"2018-05-28",10821,10897,11988,15973,18372,16835,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"205",669412.50000001,6460637.49999977,"2018-08-23",9258,9237,10068,13729,16363,12380,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"207",669412.50000001,6460637.49999977,"2017-06-17",9545,9556,8782,18083,12565,9773,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"209",669412.50000001,6460662.49999977,"2018-05-10",9212,9010,9148,14240,14395,12266,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"210",669412.50000001,6460662.49999977,"2018-05-12",9812,9698,9998,15234,15776,13366,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"211",669412.50000001,6460662.49999977,"2018-05-26",10334,10364,11339,14963,17752,16150,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"212",669412.50000001,6460662.49999977,"2018-05-28",10853,10927,11972,15997,18617,17103,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"213",669412.50000001,6460662.49999977,"2018-08-23",9330,9312,10237,14012,16532,12366,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"215",669412.50000001,6460662.49999977,"2017-06-17",9463,9443,8596,18166,12235,9542,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"217",669412.50000001,6460687.49999977,"2018-05-10",9151,8959,9019,14303,14172,12004,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"218",669412.50000001,6460687.49999977,"2018-08-23",9169,8993,9524,12595,15020,11697,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"219",669412.50000001,6460687.49999977,"2017-06-17",9436,9404,8531,18107,11925,9260,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"221",669412.50000001,6460687.49999977,"2018-05-26",10344,10393,11339,14988,17648,16098,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"222",669412.50000001,6460687.49999977,"2018-05-28",10855,10940,12043,15934,18580,17081,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"224",669412.50000001,6460687.49999977,"2018-05-12",9743,9610,9795,15712,15645,13114,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"225",669412.50000001,6460712.49999977,"2018-05-26",10344,10385,11351,14861,17553,15974,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"226",669412.50000001,6460712.49999977,"2018-05-28",10795,10850,11854,15829,18378,16779,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
"227",669412.50000001,6460712.49999977,"2018-08-23",8686,8087,8210,10690,12817,10267,"LC08",42,0,1,0,0,0,0,0,0,0,0,0,0,0
